Description,Genre,IMLink,MovieName,Movie_link,Rating,Year,_id,id
"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=ttls_li_tt,8.1,-2015,6421971c32839ec2cd26de94,31
"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BY2JiYTNmZTctYTQ1OC00YjU4LWEwMjYtZjkwY2Y5MDI0OTU3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UY209_CR0,0,140,209_AL_.jpg",Ready Player One,https://www.imdb.com/title/tt1677720/?ref_=ttls_li_tt,7.4,-2018,6421971c32839ec2cd26de95,32
"The brash James T. Kirk tries to live up to his father""""s legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Star Trek,https://www.imdb.com/title/tt0796366/?ref_=ttls_li_tt,7.9,-2009,6421971c32839ec2cd26de96,33
"A deactivated cyborg""s revived, but can""t remember anything of her past and goes on a quest to find out who she is.","[""Action"",""Adventure"",""Sci-Fi""]","https://m.media-amazon.com/images/M/MV5BMTQzYWYwYjctY2JhZS00NTYzLTllM2UtZWY5ZTk0NmYwYzIyXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UY209_CR0,0,140,209_AL_.jpg",Alita: Battle Angel,https://www.imdb.com/title/tt0437086/?ref_=ttls_li_tt,7.3,-2019,6421971c32839ec2cd26de97,34
"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","[""Action"",""Adventure"",""Thriller""]","https://m.media-amazon.com/images/M/MV5BMTc4ODc4NTQ1N15BMl5BanBnXkFtZTcwNDUxODUyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",The A-Team,https://www.imdb.com/title/tt0429493/?ref_=ttls_li_tt,6.7,-2010,6421971c32839ec2cd26de98,35
A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,"[""Action"",""Adventure"",""Thriller""]","https://m.media-amazon.com/images/M/MV5BNTUwODQyNjM0NF5BMl5BanBnXkFtZTcwNDMwMTU1Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg",The Expendables,https://www.imdb.com/title/tt1320253/?ref_=ttls_li_tt,6.4,-2010,6421971c32839ec2cd26de99,36
A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,"[""Action"",""Adventure"",""Thriller""]","https://m.media-amazon.com/images/M/MV5BYWNlYTI0MDctNDdjNS00MmUzLWE4MzYtZTNjOTNjYWJjZmM5XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg",Cliffhanger,https://www.imdb.com/title/tt0106582/?ref_=ttls_li_tt,6.5,-1993,6421971c32839ec2cd26de9a,37
A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,"[""Action"",""Adventure"",""Thriller""]","https://m.media-amazon.com/images/M/MV5BYjc0MjYyN2EtZGRhMy00NzJiLWI2Y2QtYzhiYTU3NzAxNzg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Speed,https://www.imdb.com/title/tt0111257/?ref_=ttls_li_tt,7.3,-1994,6421971c32839ec2cd26de9b,38
"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.","[""Action"",""Comedy""]","https://m.media-amazon.com/images/M/MV5BMTM2Nzc4NjYxMV5BMl5BanBnXkFtZTcwNTM1MTcyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",Team America: World Police,https://www.imdb.com/title/tt0372588/?ref_=ttls_li_tt,7.2,-2004,6421971c32839ec2cd26de9c,39
Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,"[""Action"",""Comedy"",""Crime""]","https://m.media-amazon.com/images/M/MV5BOWExYjI5MzktNTRhNi00Nzg2LThkZmQtYWVkYjRlYWI2MDQ4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",The Mask,https://www.imdb.com/title/tt0110475/?ref_=ttls_li_tt,6.9,-1994,6421971c32839ec2cd26de9d,40
"In a magically realistic version of Toronto, a young man must defeat his new girlfriend""s seven evil exes one by one in order to win her heart.","[""Action"",""Comedy"",""Fantasy"",""Romance""]","https://m.media-amazon.com/images/M/MV5BYWQ2OGIyZTgtZmY5MC00NzY3LTg5NDYtMjdkZjgxZmFhZTMzXkEyXkFqcGdeQXVyOTA3ODI3NDA@._V1_UY209_CR0,0,140,209_AL_.jpg",Scott Pilgrim vs. the World,https://www.imdb.com/title/tt0446029/?ref_=ttls_li_tt,7.5,-2010,6421971c32839ec2cd26de9e,41
"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.","[""Action"",""Comedy"",""Mystery""]","https://m.media-amazon.com/images/M/MV5BMzg4MDJhMDMtYmJiMS00ZDZmLThmZWUtYTMwZDM1YTc5MWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Hot Fuzz,https://www.imdb.com/title/tt0425112/?ref_=ttls_li_tt,7.8,-2007,6421971c32839ec2cd26de9f,42
"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city""s hidden corruption and question his family""s involvement.","[""Action"",""Crime"",""Drama""]","https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_UX67_CR0,0,67,98_AL_.jpg",The Batman,https://www.imdb.com/title/tt1877830/?ref_=adv_li_tt,7.8,-2022,6421971c32839ec2cd26dea0,43
"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","[""Action"",""Crime"",""Drama""]","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt,9,-2008,6421971c32839ec2cd26dea1,44
"12-year-old Mathilda is reluctantly taken in by L�on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his prot�g�e and learns the assassin""s trade.","[""Action"",""Crime"",""Drama""]","https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",Leon,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt,8.5,-1994,6421971c32839ec2cd26dea2,45
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"[""Action"",""Crime"",""Drama""]","https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg",Heat,https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt,8.3,-1995,6421971c32839ec2cd26dea3,46
An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"[""Action"",""Crime"",""Drama"",""Mystery""]","https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Sicario,https://www.imdb.com/title/tt3397884/?ref_=ttls_li_tt,7.6,-2015,6421971c32839ec2cd26dea4,47
"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.","[""Action"",""Crime"",""Mystery""]","https://m.media-amazon.com/images/M/MV5BZTI3YzZjZjEtMDdjOC00OWVjLTk0YmYtYzI2MGMwZjFiMzBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Minority Report,https://www.imdb.com/title/tt0181689/?ref_=ttls_li_tt,7.6,-2002,6421971c32839ec2cd26dea5,48
"Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise.","[""Action"",""Crime"",""Thriller""]","https://m.media-amazon.com/images/M/MV5BMTk2NDc2MDAxN15BMl5BanBnXkFtZTYwNDc1NDY2._V1_UY209_CR2,0,140,209_AL_.jpg",The Transporter,https://www.imdb.com/title/tt0293662/?ref_=ttls_li_tt,6.8,-2002,6421971c32839ec2cd26dea6,49
"Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official.","[""Action"",""Crime"",""Thriller""]","https://m.media-amazon.com/images/M/MV5BMTQ5MDM0MTI2N15BMl5BanBnXkFtZTcwNTM5NDczMw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Transporter 2,https://www.imdb.com/title/tt0388482/?ref_=ttls_li_tt,6.3,-2005,6421971c32839ec2cd26dea7,50
